alcaldia,colonia,direccion,nivel,cct,escuela,aefcm,sectei,sobse
GUSTAVO A. MADERO,SAN PEDRO EL CHICO,"CALLE NORTE 84 A NO. 6618, COLONIA SAN PEDRO EL CHICO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1474I,ESCUELA PRIMARIA ENRIQUE GONZÁLEZ MARTINEZ,x,,
GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 585 NO. 28, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1542P,ESCUELA PRIMARIA MOCTEZUMA ILHUICAMINA,x,,
MIGUEL HIDALGO,ANAHUAC,"CALLE LAGO LADOGA NO. 300, COLONIA ANAHUAC, ALCALDÍA MIGUEL HIDALGO, C.P. 11320, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1696S,ESCUELA PRIMARIA MODELO,x,,
MIGUEL HIDALGO,LEGARIA,"CALLE LAGO ONTARIO Y LAGO WINNIPEG S/N, COLONIA LEGARIA, ALCALDÍA MIGUEL HIDALGO, C.P. 11410, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1720B,ESCUELA PRIMARIA ESTADO DE GUERRERO,x,,
MIGUEL HIDALGO,UN HOGAR PARA NOSOTROS,"CALLE MÉXICO. TACUBA NO. 75, COLONIA UN HOGAR PARA NOSOTROS, ALCALDÍA MIGUEL HIDALGO, C.P. 11330, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1839Z,ESCUELA PRIMARIA LUIS HIDALGO MONROY (ANEXA A LA EBNM),x,,
COYOACÁN,ADOLFO RUIZ CORTINES,"CALLE TECACALO Y PEHUAME S/N, COLONIA ADOLFO RUIZ CORTINES, ALCALDÍA COYOACÁN, C.P. 04630, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1958M,ESCUELA PRIMARIA LIBERAL,x,,
GUSTAVO A. MADERO,NUEVA TENOCHTITLAN,"CALLE INGENIERO EDUARDO MOLINA Y ORIENTE 95 S/N, COLONIA NUEVA TENOCHTITLAN, ALCALDÍA GUSTAVO A. MADERO, C.P. 07890, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2203X,ESCUELA PRIMARIA PROFR. BENJAMIN GURROLA CARRERA,x,,
GUSTAVO A. MADERO,LA PRADERA,"CALLE VOLCAN IZTACCIHUATL Y LOS PINOS NO. 90, COLONIA LA PRADERA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2566F,ESCUELA PRIMARIA JUAN JACOBO ROUSSEAU,x,,
TLALPAN,TEPEXIMILPA SERVIMET,"CALLE LOMA BONITA S/N, COLONIA TEPEXIMILPA SERVIMET, ALCALDÍA TLALPAN, C.P. 14427, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2624F,PRIMARIA PROFR. SOSTENES NICOLAS CHAPA NIETO,x,,
TLALPAN,SANTA URSULA XITLA,"CALLE SANTA URSULA NO. 22, COLONIA SANTA URSULA XITLA, ALCALDÍA TLALPAN, C.P. 14420, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2816V,ESCUELA PRIMARIA ESTADO DE QUERETARO,x,,
IZTAPALAPA,ERMITA ZARAGOZA,"CALLE CHITO VILLAGRAN, SEGUNDA SECCION NO. 36, UNIDAD HABITACIONAL ERMITA ZARAGOZA, ALCALDÍA IZTAPALAPA, C.P. 09180, CIUDAD DE MÉXICO.",PRIMARIA,09DPR3126P,ESCUELA PRIMARIA EL SEGURO DEL MAESTRO,x,,
IZTAPALAPA,SAN FRANCISCO APOLOCALCO,"CALLE APOLOCALCO Y YACAHUITZOTL S/N, COLONIA SAN FRANCISCO APOLOCALCO, ALCALDÍA IZTAPALAPA, C.P. 09900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5067D,"ESCUELA PRIMARIA XIUHZITZQUILI

(SE INTEGRAN RECURSOS ""NORMALISMO MEX"")",x,,
TLALPAN,CRUZ DEL FAROL,"CALLE SAUS TOSTADO S/N, COLONIA CRUZ DEL FAROL, ALCALDÍA TLALPAN, C.P. 14248, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5100V,ESCUELA PRIMARIA JOSÉ MARIA CHAVEZ ANDRADE,x,,
IZTAPALAPA,SAN ANDRES TETEPILCO,"CALLE GRAN BRETAÑA NO. 147, COLONIA SAN ANDRES TETEPILCO, ALCALDÍA IZTAPALAPA, C.P. 09440, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0025I,ESCUELA SECUNDARIA TÉCNICA NO. 25,x,,
CUAJIMALPA DE MORELOS,GRANJAS NAVIDAD,"CALLE HERMANDAD Y EBANO S/N, COLONIA GRANJAS NAVIDAD, ALCALDÍA CUAJIMALPA DE MORELOS, C.P. 05210, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0048T,ESCUELA SECUNDARIA TÉCNICA NO. 48,x,,
,,,,,PLANTELES QUE SUMARAN SUS RECURSOS,,,
,,,,,PLANTELES CON MANDATO JUDICIAL - ATTE CON ALCALDÍA-,,,
